CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
     8,     7,      33.572,     161.000,      67.144,       4.289,      71.433,       0.940,       2.128,       0.128,      26.072,       1.571,       0.034,       0.000,       0.000,       0.000,     292.875,      28.199,
     7,     8,     114.364,     544.000,     228.727,      52.673,     281.400,       0.813,       2.461,       0.461,      30.812,       5.756,       2.333,       1.183,       0.971,      19.118,     989.591,      24.385,
     5,     7,      45.978,     548.000,      91.956,       8.044,     100.000,       0.920,       2.175,       0.175,      10.920,       0.883,       0.021,       0.000,       0.000,       0.000,     996.867,      27.587,
     7,     5,      13.508,     161.000,      27.016,       1.184,      28.200,       0.958,       2.088,       0.088,      10.509,       0.441,       0.007,       0.000,       0.000,       0.000,     292.875,      28.741,
     5,     4,      22.073,     159.000,      44.147,       7.820,      51.967,       0.850,       2.354,       0.354,      19.491,       2.952,       1.572,       0.571,       0.553,      14.465,     289.237,      25.486,
     4,     5,      76.077,     548.000,     152.153,      15.297,     167.450,       0.909,       2.201,       0.201,      18.099,       1.701,       0.043,       0.004,       0.000,       0.000,     996.867,      27.259,
     4,     3,      64.847,     319.000,     129.694,       9.973,     139.667,       0.929,       2.154,       0.154,      25.761,       1.877,       0.037,       0.000,       0.000,       0.000,     580.293,      27.858,
     3,     4,     113.336,     548.000,     226.673,      45.327,     272.000,       0.833,       2.400,       0.400,      29.576,       4.911,       1.999,       1.295,       1.178,      19.161,     996.867,      25.001,
     3,     2,     138.359,     303.000,     276.717,      16.283,     293.000,       0.944,       2.118,       0.118,      56.508,       3.301,       0.243,       0.000,       0.000,       0.000,     551.187,      28.333,
     2,     3,     250.689,     549.000,     501.378,      51.405,     552.783,       0.907,       2.205,       0.205,      59.515,       5.567,       0.560,       0.000,       0.000,       0.000,     998.686,      27.210,
     2,     1,      73.879,     298.000,     147.758,       8.875,     156.633,       0.943,       2.120,       0.120,      31.241,       1.774,       0.000,       0.000,       0.000,       0.000,     542.092,      28.300,
     1,     2,     135.858,     548.000,     271.717,       0.183,     271.900,       0.999,       2.001,       0.001,      29.566,       0.002,       0.135,       0.000,       0.000,       0.000,     996.867,      29.980,
     9,     8,      59.626,     214.000,     119.252,      16.631,     135.883,       0.878,       2.279,       0.279,      37.471,       4.601,       1.192,       0.045,       0.032,       0.935,     389.288,      26.328,
     8,     9,      91.502,     326.000,     183.005,      30.445,     213.450,       0.857,       2.333,       0.333,      38.723,       5.574,       1.657,       0.211,       0.164,       7.975,     593.027,      25.721,
    16,    15,     118.340,     551.000,     236.680,      -2.846,     233.833,       1.012,       1.976,      -0.024,      25.314,      -0.323,       0.107,       0.000,       0.000,       0.000,    1002.324,      30.365,
    15,    16,      28.350,     132.000,      56.700,       1.383,      58.083,       0.976,       2.049,       0.049,      26.271,       0.632,       0.000,       0.000,       0.000,       0.000,     240.121,      29.286,
    15,    14,     182.355,     548.000,     364.711,      28.839,     393.550,       0.927,       2.158,       0.158,      42.620,       3.147,       0.305,       0.000,       0.000,       0.000,     996.867,      27.802,
    14,    15,      44.258,     133.000,      88.516,       1.751,      90.267,       0.981,       2.040,       0.040,      40.409,       0.730,       0.007,       0.000,       0.000,       0.000,     241.940,      29.418,
    14,    13,      78.879,     548.000,     157.758,      13.726,     171.483,       0.920,       2.174,       0.174,      18.742,       1.516,       0.067,       0.000,       0.000,       0.000,     996.867,      27.599,
    13,    14,      19.720,     137.000,      39.439,       0.461,      39.900,       0.988,       2.023,       0.023,      17.362,       0.200,       0.001,       0.000,       0.000,       0.000,     249.217,      29.654,
    12,    13,      15.708,     138.000,      31.416,       0.767,      32.183,       0.976,       2.049,       0.049,      13.993,       0.334,       0.001,       0.000,       0.000,       0.000,     251.036,      29.285,
    13,    12,      62.377,     548.000,     124.753,      12.914,     137.667,       0.906,       2.207,       0.207,      15.014,       1.410,       0.028,       0.000,       0.000,       0.000,     996.867,      27.186,
    12,    10,      65.407,     543.000,     130.814,      11.570,     142.383,       0.919,       2.177,       0.177,      15.651,       1.286,       0.029,       0.000,       0.000,       0.000,     987.772,      27.562,
    10,    12,      16.623,     138.000,      33.245,       0.205,      33.450,       0.994,       2.012,       0.012,      14.482,       0.123,       0.001,       0.000,       0.000,       0.000,     251.036,      29.817,
    10,    11,     107.048,     544.000,     214.097,      19.336,     233.433,       0.917,       2.181,       0.181,      25.465,       2.132,       0.082,       0.000,       0.000,       0.000,     989.591,      27.515,
    11,    10,      27.746,     141.000,      55.492,       0.658,      56.150,       0.988,       2.024,       0.024,      23.580,       0.290,       0.010,       0.000,       0.000,       0.000,     256.493,      29.648,
     6,    11,      33.895,     143.000,      67.789,       2.911,      70.700,       0.959,       2.086,       0.086,      28.907,       1.309,       0.040,       0.007,       0.000,       0.000,     260.131,      28.765,
    11,     6,     129.615,     541.000,     259.229,      45.104,     304.333,       0.852,       2.348,       0.348,      33.439,       4.964,       1.708,       0.406,       0.368,      11.091,     984.133,      25.554,
     9,     6,     117.023,     269.000,     234.045,      30.721,     264.767,       0.884,       2.263,       0.263,      58.703,       6.843,       2.406,       0.978,       0.894,      20.074,     489.338,      26.519,
     6,     9,     105.862,     242.000,     211.724,      26.076,     237.800,       0.890,       2.246,       0.246,      58.149,       6.389,       1.431,       0.698,       0.597,      19.008,     440.222,      26.710,
     9,    17,      72.110,     267.000,     144.220,      21.230,     165.450,       0.872,       2.294,       0.294,      36.846,       4.723,       1.625,       0.511,       0.471,      17.228,     485.700,      26.151,
    17,     9,      53.083,     198.000,     106.166,      13.001,     119.167,       0.891,       2.245,       0.245,      35.718,       3.891,       1.368,       0.272,       0.267,       8.586,     360.182,      26.727,
    18,    17,      67.857,     153.000,     135.714,      14.386,     150.100,       0.904,       2.212,       0.212,      55.238,       5.334,       1.412,       0.512,       0.482,      18.301,     278.322,      27.125,
