CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
     5,     2,     128.459,    1373.000,     256.917,      -9.201,     247.717,       1.037,       1.928,      -0.072,      10.791,      -0.400,       1.267,       0.000,       0.000,       0.000,    2497.625,      31.114,
     2,     4,      12.291,    1248.000,      24.582,       1.502,      26.083,       0.942,       2.122,       0.122,       1.254,       0.073,       0.003,       0.000,       0.000,       0.000,    2270.238,      28.273,
     4,     9,     359.442,    1533.000,     718.884,      54.949,     773.833,       0.929,       2.153,       0.153,      30.054,       2.148,       0.000,       0.000,       0.000,       0.000,    2788.681,      27.870,
     9,     8,     130.634,    1374.000,     261.268,      -7.402,     253.867,       1.029,       1.943,      -0.057,      11.051,      -0.326,       0.547,       0.000,       0.000,       0.000,    2499.444,      30.875,
     8,     7,      16.674,    1240.000,      33.348,       3.135,      36.483,       0.914,       2.188,       0.188,       1.766,       0.153,       0.008,       0.000,       0.000,       0.000,    2255.685,      27.422,
     7,     3,     188.685,    1521.000,     377.369,      35.314,     412.683,       0.914,       2.187,       0.187,      16.205,       1.390,       0.714,       0.000,       0.000,       0.000,    2766.852,      27.433,
     3,     1,      15.993,    1362.000,      31.986,       4.480,      36.467,       0.877,       2.280,       0.280,       1.606,       0.197,       0.003,       0.000,       0.000,       0.000,    2477.615,      26.314,
     1,     5,     150.094,    1601.000,     300.188,      26.696,     326.883,       0.918,       2.178,       0.178,      12.202,       1.009,       0.000,       0.000,       0.000,       0.000,    2912.380,      27.550,
    22,     1,      11.000,     242.000,      22.000,       8.283,      30.283,       0.726,       2.753,       0.753,       7.514,       2.062,       1.051,       0.000,       0.000,       0.000,     440.222,      21.794,
