CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
     5,     2,     128.459,    1373.000,     256.917,      -8.517,     248.400,       1.034,       1.934,      -0.066,      10.821,      -0.374,       1.250,       0.000,       0.000,       0.000,    2497.625,      31.029,
     2,     4,      12.143,    1233.000,      24.286,       1.180,      25.467,       0.954,       2.097,       0.097,       1.240,       0.059,       0.002,       0.000,       0.000,       0.000,    2242.951,      28.610,
     4,     9,     350.532,    1495.000,     701.064,      53.836,     754.900,       0.929,       2.154,       0.154,      30.082,       2.157,       0.000,       0.000,       0.000,       0.000,    2719.555,      27.861,
     9,     8,     130.444,    1372.000,     260.888,      -7.488,     253.400,       1.030,       1.943,      -0.057,      11.047,      -0.325,       0.530,       0.000,       0.000,       0.000,    2495.806,      30.886,
     8,     7,      16.634,    1237.000,      33.268,       2.666,      35.933,       0.926,       2.160,       0.160,       1.742,       0.130,       0.015,       0.000,       0.000,       0.000,    2250.227,      27.775,
     7,     3,     183.847,    1482.000,     367.693,      35.923,     403.617,       0.911,       2.195,       0.195,      16.282,       1.455,       0.706,       0.000,       0.000,       0.000,    2695.907,      27.330,
     3,     1,      15.430,    1314.000,      30.859,       4.791,      35.650,       0.866,       2.311,       0.311,       1.628,       0.219,       0.002,       0.000,       0.000,       0.000,    2390.298,      25.968,
     1,     5,     149.250,    1592.000,     298.500,      28.800,     327.300,       0.912,       2.193,       0.193,      12.289,       1.088,       0.000,       0.000,       0.000,       0.000,    2896.008,      27.360,
    22,     1,      12.818,     282.000,      25.636,      10.864,      36.500,       0.702,       2.848,       0.848,       7.746,       2.307,       1.149,       0.000,       0.000,       0.000,     512.986,      21.071,
    27,     4,      11.895,     265.000,      23.790,       3.077,      26.867,       0.885,       2.259,       0.259,       6.060,       0.690,       0.663,       0.000,       0.000,       0.000,     482.062,      26.564,
  7005,     7,       9.327,     245.000,      18.653,     -11.487,       7.167,       2.603,       0.768,      -1.232,       1.755,      -2.813,       0.224,       0.053,       0.053,       2.857,     445.680,      78.084,
     8,  7006,       4.920,     136.000,       9.839,       2.094,      11.933,       0.825,       2.426,       0.426,       5.265,       0.924,       0.000,       0.000,       0.000,       0.000,     247.398,      24.736,
    25,    22,      12.649,     283.000,      25.298,      -5.265,      20.033,       1.263,       1.584,      -0.416,       4.246,      -1.112,       0.107,       0.000,       0.000,       0.000,     514.805,      37.885,
     3,  7002,       8.485,     171.000,      16.970,       2.946,      19.917,       0.852,       2.347,       0.347,       6.988,       1.034,       0.000,       0.000,       0.000,       0.000,     311.066,      25.562,
     2,  7004,       5.776,     138.000,      11.552,       2.198,      13.750,       0.840,       2.380,       0.380,       5.971,       0.956,       0.000,       0.000,       0.000,       0.000,     251.036,      25.205,
  7001,    25,       9.305,     284.000,      18.611,     -12.794,       5.817,       3.200,       0.625,      -1.375,       1.229,      -2.703,       0.000,       0.000,       0.000,       0.000,     516.625,      95.986,
  7003,    27,       9.068,     266.000,      18.136,     -11.703,       6.433,       2.819,       0.709,      -1.291,       1.451,      -2.640,       0.000,       0.000,       0.000,       0.000,     483.881,      84.574,
    49,    42,      14.769,     127.000,      29.537,       1.830,      31.367,       0.942,       2.124,       0.124,      14.819,       0.864,       0.041,       0.000,       0.000,       0.000,     231.026,      28.250,
  7007,    45,      19.476,     197.000,      38.952,     -12.619,      26.333,       1.479,       1.352,      -0.648,       8.010,      -3.829,       0.011,       0.000,       0.000,       0.000,     358.363,      44.376,
    44,  7008,       3.417,     110.000,       6.833,       0.717,       7.550,       0.905,       2.210,       0.210,       4.118,       0.391,       0.000,       0.000,       0.000,       0.000,     200.101,      27.152,
  7009,    43,      18.541,     223.000,      37.082,     -12.066,      25.017,       1.482,       1.349,      -0.651,       6.723,      -3.241,       0.018,       0.000,       0.000,       0.000,     405.659,      44.469,
    42,  7010,       7.273,     128.000,      14.545,       1.055,      15.600,       0.932,       2.145,       0.145,       7.312,       0.494,       0.000,       0.000,       0.000,       0.000,     232.845,      27.972,
    45,    47,      14.066,     197.000,      28.132,       7.801,      35.933,       0.783,       2.555,       0.555,      10.914,       2.369,       1.360,       0.838,       0.626,      22.843,     358.363,      23.487,
    50,    47,      16.036,     224.000,      32.073,      18.377,      50.450,       0.636,       3.146,       1.146,      13.513,       4.922,       3.358,       2.348,       1.844,      41.964,     407.479,      19.072,
    53,    49,       8.997,     126.000,      17.993,       2.673,      20.667,       0.871,       2.297,       0.297,       9.811,       1.271,       0.002,       0.000,       0.000,       0.000,     229.207,      26.119,
    53,    44,       7.400,     110.000,      14.800,       2.633,      17.433,       0.849,       2.356,       0.356,       9.509,       1.436,       0.009,       0.000,       0.000,       0.000,     200.101,      25.469,
    43,    50,      25.816,     222.000,      51.632,       2.885,      54.517,       0.947,       2.112,       0.112,      14.702,       0.796,       0.046,       0.000,       0.000,       0.000,     403.840,      28.412,
    46,    47,     512.806,    1653.000,    1025.611,     156.305,    1181.917,       0.868,       2.305,       0.305,      42.423,       5.570,       1.446,       0.042,       0.030,       1.996,    3006.973,      26.033,
    53,    46,     315.929,    1019.000,     631.857,      75.909,     707.767,       0.893,       2.240,       0.240,      41.228,       4.455,       0.000,       0.368,       0.275,       0.000,    1853.663,      26.782,
    54,    53,      64.993,    1257.000,     129.985,    1250.781,    1380.767,       0.094,      21.245,      19.245,      64.794,      58.718,      27.182,      48.160,      38.390,      66.905,    2286.609,       2.824,
    47,    54,     106.791,    2073.000,     213.582,      43.918,     257.500,       0.829,       2.411,       0.411,       7.437,       1.271,       0.000,       0.027,       0.010,       0.000,    3770.995,      24.883,
    59,    60,      25.636,     988.000,      51.271,       1.245,      52.517,       0.976,       2.049,       0.049,       3.186,       0.079,       0.010,       0.000,       0.000,       0.000,    1797.271,      29.289,
    58,    57,      31.863,    1379.000,      63.727,       2.923,      66.650,       0.956,       2.092,       0.092,       2.898,       0.130,       0.013,       0.000,       0.000,       0.000,    2508.540,      28.684,
  7011,    88,       6.671,     259.000,      13.342,      -8.376,       4.967,       2.686,       0.744,      -1.256,       1.151,      -1.940,       0.016,       0.000,       0.000,       0.000,     471.147,      80.592,
    87,  7012,       1.248,      61.000,       2.495,       0.705,       3.200,       0.780,       2.565,       0.565,       3.148,       0.693,       0.000,       0.000,       0.000,       0.000,     110.965,      23.395,
  7013,    84,       8.613,     286.000,      17.225,     -11.375,       5.850,       2.944,       0.679,      -1.321,       1.227,      -2.386,       0.000,       0.000,       0.000,       0.000,     520.263,      88.333,
    81,  7014,      14.040,     706.000,      28.080,      15.887,      43.967,       0.639,       3.132,       1.132,       3.736,       1.350,       0.000,       0.007,       0.004,       0.000,    1284.285,      19.160,
  7015,    83,      28.319,     213.000,      56.639,       1.311,      57.950,       0.977,       2.046,       0.046,      16.284,       0.366,       1.685,       0.000,       0.000,       0.000,     387.468,      29.321,
  7017,    85,      29.663,     249.000,      59.326,     -15.626,      43.700,       1.358,       1.473,      -0.527,      10.498,      -3.763,       0.043,       0.000,       0.000,       0.000,     452.956,      40.727,
    85,   100,       6.791,     249.000,      13.582,       0.952,      14.533,       0.935,       2.140,       0.140,       3.502,       0.229,       0.072,       0.048,       0.032,       2.811,     452.956,      28.036,
    88,   100,       8.584,     262.000,      17.169,      -1.702,      15.467,       1.110,       1.802,      -0.198,       3.542,      -0.390,       0.442,       0.214,       0.153,      11.069,     476.604,      33.302,
   100,    60,      58.454,     621.000,     116.908,      57.175,     174.083,       0.672,       2.978,       0.978,      16.740,       5.506,       2.583,       0.008,       0.008,       0.000,    1129.661,      20.147,
    59,    92,       9.207,     108.000,      18.414,       5.686,      24.100,       0.764,       2.618,       0.618,      13.318,       3.119,       1.163,       0.000,       0.000,       0.000,     196.463,      22.922,
    92,    87,       0.855,      61.000,       1.710,       0.773,       2.483,       0.689,       2.905,       0.905,       2.443,       0.761,       0.000,       0.000,       0.000,       0.000,     110.965,      20.656,
    84,    57,      23.236,     288.000,      46.473,      12.694,      59.167,       0.785,       2.546,       0.546,      12.279,       2.623,       2.030,       0.000,       0.000,       0.000,     523.901,      23.564,
    83,    57,      18.136,     210.000,      36.273,      16.477,      52.750,       0.688,       2.909,       0.909,      14.944,       4.674,       1.647,       0.000,       0.000,       0.000,     382.011,      20.629,
    58,    91,      18.799,     269.000,      37.599,       6.884,      44.483,       0.845,       2.366,       0.366,       9.922,       1.536,       0.071,       0.000,       0.000,       0.000,     489.338,      25.357,
   101,    90,       1.038,      66.000,       2.075,      -0.058,       2.017,       1.029,       1.944,      -0.056,       1.836,      -0.037,       0.030,       0.000,       0.000,       0.000,     120.061,      30.868,
    91,   101,       1.609,     137.000,       3.217,       0.249,       3.467,       0.928,       2.155,       0.155,       1.518,       0.109,       0.097,       0.000,       0.000,       0.000,     249.217,      27.843,
    91,    82,       2.100,     132.000,       4.200,       0.500,       4.700,       0.894,       2.238,       0.238,       2.136,       0.227,       0.011,       0.000,       0.000,       0.000,     240.121,      26.809,
    90,    94,       2.800,      66.000,       5.600,       0.067,       5.667,       0.988,       2.024,       0.024,       5.152,       0.061,       0.000,       0.000,       0.000,       0.000,     120.061,      29.647,
   101,    81,       0.968,      71.000,       1.936,       0.714,       2.650,       0.731,       2.737,       0.737,       2.239,       0.603,       0.587,       0.000,       0.000,       0.000,     129.156,      21.921,
    94,    89,      51.250,    1230.000,     102.500,      87.300,     189.800,       0.540,       3.703,       1.703,       9.239,       4.256,       0.353,       0.057,       0.000,       0.000,    2237.494,      16.201,
    89,    81,       6.494,     635.000,      12.989,      11.745,      24.733,       0.525,       3.808,       1.808,       2.335,       1.110,       0.061,       0.063,       0.039,       3.150,    1155.129,      15.754,
    89,    82,       9.579,     595.000,      19.157,      25.759,      44.917,       0.427,       4.689,       2.689,       4.528,       2.599,       0.165,       0.079,       0.032,       2.857,    1082.365,      12.795,
    93,   100,       8.505,     109.000,      17.011,      -1.194,      15.817,       1.075,       1.860,      -0.140,       8.706,      -0.657,       0.309,       0.037,       0.037,       0.000,     198.282,      32.265,
    62,    58,     168.023,    1649.000,     336.046,      -4.980,     331.067,       1.015,       1.970,      -0.030,      12.004,      -0.181,       0.274,       0.002,       0.002,       0.000,    2999.697,      30.451,
    60,    62,     156.439,    1607.000,     312.878,      27.389,     340.267,       0.920,       2.175,       0.175,      12.669,       1.027,       0.000,       0.000,       0.000,       0.000,    2923.295,      27.585,
    57,    56,     297.706,    1878.000,     595.411,      52.172,     647.583,       0.919,       2.175,       0.175,      20.590,       1.667,       0.000,       0.000,       0.000,       0.000,    3416.271,      27.583,
    56,    59,     176.667,    1100.000,     353.333,      -3.967,     349.367,       1.011,       1.978,      -0.022,      18.962,      -0.218,       0.174,       0.000,       0.000,       0.000,    2001.011,      30.341,
    82,  7016,      81.019,     730.000,     162.038,      34.462,     196.500,       0.825,       2.425,       0.425,      16.088,       2.833,       0.000,       0.005,       0.000,       0.000,    1327.943,      24.739,
    92,    86,       0.774,      47.000,       1.549,       0.168,       1.717,       0.902,       2.217,       0.217,       2.191,       0.214,       0.000,       0.000,       0.000,       0.000,      85.498,      27.068,
    86,  7018,       4.985,      47.000,       9.970,       0.464,      10.433,       0.956,       2.093,       0.093,      13.319,       0.592,       0.000,       0.000,       0.000,       0.000,      85.498,      28.667,
Subnetwork,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,SpeedAverage,
Subnetwork,Travel Distance,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per Distance Traveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Speed Average,
,    3467.361,   11957.000,     113.425,      34.616,     148.041,       0.766,       2.562,       0.599,       0.731,       0.172,       0.065,       0.087,       0.069,       9.141,      23.422,
CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TotalQueueTime,TotalStopTime,ContentAverage,StoragePercent,PhaseFailuresTotal,VehiclesInQueue - Lane 1,VehiclesInQueue - Lane 2,VehiclesInQueue - Lane 3,VehiclesInQueue - Lane 4,VehiclesInQueue - Lane 5,VehiclesInQueue - Lane 6,VehiclesInQueue - Lane 7,MaximumVehiclesInQueue - Lane 1,MaximumVehiclesInQueue - Lane 2,MaximumVehiclesInQueue - Lane 3,MaximumVehiclesInQueue - Lane 4,MaximumVehiclesInQueue - Lane 5,MaximumVehiclesInQueue - Lane 6,MaximumVehiclesInQueue - Lane 7,LaneChangesTotal
Up Node,Down Node,Total Queue Time,Total Stop Time,Content Average,Storage Percent,Phase Failures,VehiclesInQueue - Lane 1,VehiclesInQueue - Lane 2,VehiclesInQueue - Lane 3,VehiclesInQueue - Lane 4,VehiclesInQueue - Lane 5,VehiclesInQueue - Lane 6,VehiclesInQueue - Lane 7,MaximumVehiclesInQueue - Lane 1,MaximumVehiclesInQueue - Lane 2,MaximumVehiclesInQueue - Lane 3,MaximumVehiclesInQueue - Lane 4,MaximumVehiclesInQueue - Lane 5,MaximumVehiclesInQueue - Lane 6,MaximumVehiclesInQueue - Lane 7,LaneChangesTotal
     5,     2,       0.000,       0.000,       8.398,       6.284,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     194.000
     2,     4,       0.000,       0.000,       1.132,       8.052,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     4,     9,       0.000,       0.000,      23.310,       6.954,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     335.000
     9,     8,       0.000,       0.000,       8.393,       6.181,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     355.000
     8,     7,       0.000,       0.000,       1.592,       8.288,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     7,     3,       0.000,       0.000,      12.648,       7.143,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     440.000
     3,     1,       0.000,       0.000,       1.572,       9.386,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     1,     5,       0.000,       0.000,      10.435,       7.807,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     213.000
  8001,     5,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  8002,     9,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    22,     1,       0.000,       0.000,       1.587,      12.261,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    27,     4,       0.000,       0.000,       1.193,       9.219,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7005,     7,       0.217,       0.217,       0.273,       2.518,       0.000,       0.007,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     8,  7006,       0.000,       0.000,       0.616,       2.978,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    25,    22,       0.000,       0.000,       0.945,       7.426,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     3,  7002,       0.000,       0.000,       0.965,       6.762,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
     2,  7004,       0.000,       0.000,       0.697,       5.798,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7001,    25,       0.000,       0.000,       0.268,       2.870,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7003,    27,       0.000,       0.000,       0.359,       3.652,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    49,    42,       0.000,       0.000,       1.319,       3.973,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  8011,    46,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7007,    45,       0.000,       0.000,       1.198,       4.240,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    44,  7008,       0.000,       0.000,       0.384,       4.338,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7009,    43,       0.000,       0.000,       1.107,       4.652,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    42,  7010,       0.000,       0.000,       0.743,       4.581,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    45,    47,       2.767,       2.067,       1.556,       7.630,       0.000,       0.100,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    50,    47,       8.767,       6.883,       1.981,       9.666,       0.000,       0.312,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    53,    49,       0.000,       0.000,       0.995,       4.883,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    53,    44,       0.000,       0.000,       0.778,       3.814,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    43,    50,       0.000,       0.000,       2.153,       6.468,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    46,    47,       1.183,       0.833,      36.529,      20.624,       0.000,       0.045,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       3.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     334.000
    53,    46,       6.383,       4.767,      21.885,      12.346,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     615.000
  8012,    54,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    54,    53,    1042.667,     831.133,      42.501,      71.918,       0.000,       8.626,       9.784,      11.145,      10.628,       0.000,       0.000,       0.000,      13.000,      13.000,      15.000,      14.000,       0.000,       0.000,       0.000,    1361.000
    47,    54,       0.950,       0.350,       8.272,      14.057,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,     287.000
    59,    60,       0.000,       0.000,       2.001,       4.501,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.000
    58,    57,       0.000,       0.000,       2.567,       6.492,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  8013,    56,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  8014,    62,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7011,    88,       0.000,       0.000,       0.237,       3.219,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    87,  7012,       0.000,       0.000,       0.187,       3.181,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7013,    84,       0.000,       0.000,       0.243,       2.814,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    81,  7014,       0.083,       0.050,       1.647,      28.959,       0.000,       0.002,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       1.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7015,    83,       0.000,       0.000,       2.218,       5.826,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
  7017,    85,       0.000,       0.000,       1.764,       5.176,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    85,   100,       0.200,       0.133,       0.768,       9.847,       0.000,       0.008,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    88,   100,       0.933,       0.667,       0.763,       8.131,       0.000,       0.034,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
   100,    60,       0.083,       0.083,       5.735,      10.649,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       4.000
    59,    92,       0.000,       0.000,       1.167,       2.162,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      29.000
    92,    87,       0.000,       0.000,       0.157,       3.890,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    84,    57,       0.000,       0.000,       2.223,       9.630,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    83,    57,       0.000,       0.000,       2.077,       8.393,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    58,    91,       0.000,       0.000,       1.814,       4.026,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,      49.000
   101,    90,       0.000,       0.000,       0.136,       3.043,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    91,   101,       0.000,       0.000,       0.212,       6.304,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    91,    82,       0.000,       0.000,       0.323,       7.128,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    90,    94,       0.000,       0.000,       0.308,       2.548,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
   101,    81,       0.000,       0.000,       0.182,       4.630,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    94,    89,       1.183,       0.000,       6.483,      54.466,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    89,    81,       0.667,       0.417,       1.248,      42.699,       0.000,       0.023,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    89,    82,       0.783,       0.317,       1.834,      39.899,       0.000,       0.022,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       2.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
    93,   100,       0.067,       0.067,       1.137,       5.106,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000,       0.000
